title,publishedAt,viewCount,likeCount,commentCount,duration,memberCount,category,keywords,subscriberCount
NCT DREAM ????????? ?????? 'Reload' Crew Video,2020-04-20T09:00:09Z,1801584,287262,15070,61,6,Teaser,"Teaser, Comeback",
"NCT DREAM TAKES JAPAN : NCT DREAM TOUR ""THE DREAM SHOW?€?",2020-02-19T07:00:02Z,179763,26462,532,68,6,BTS,"Tour, Concert, BTS",
"NCT DREAM TAKES BANGKOK : NCT DREAM TOUR ""THE DREAM SHOW?€?",2020-01-24T09:00:01Z,151282,25671,622,60,6,BTS,"Tour, Concert, BTS",
"NCT DREAM TOUR ""THE DREAM SHOW"" Recap Video",2019-12-30T11:00:00Z,175889,35017,1464,125,6,Recap,"Recap, Concert",
2020 SM ARTIST SEASON?€?S GREETINGS DVD Teaser - NCT DREAM,2019-11-08T10:00:04Z,131132,26156,381,24,6,BTS,"BTS, Promotion, Photoshoot",
NCT DREAM ????????? ?????? 'BOOM' Vertical Video,2019-08-10T03:00:04Z,4656360,453433,9853,205,6,Performance Video,"Comeback, Performance, Music Video",
WE LIKE THAT,2019-07-24T09:00:09Z,773364,139833,4691,20,6,Teaser,"Teaser, Comeback",
WE GOT THAT,2019-07-23T09:00:03Z,730641,142435,4630,18,6,Teaser,"Teaser, Comeback",
2019 NCT DREAM Back to School Kit ?€? ?????? ????????? ??????,2019-07-05T09:01:03Z,107606,19960,483,98,7,BTS,"BTS, Promotion, Photoshoot",
2019 NCT DREAM Back to School Kit ?€? ?????? ?????€??? ??????,2019-07-02T09:00:02Z,108844,25292,633,33,7,BTS,"BTS, Promotion, Photoshoot",
SM ??€??????????????€??? ?????? ?????€ ?????? ???? NCT DREAM,2019-06-07T08:00:08Z,417661,71808,1363,510,3,Jakun,"Jakun, Promotion",
2019 NCT DREAM SUMMER VACATION KIT DVD Teaser,2019-04-25T09:00:04Z,166632,32683,1064,23,7,Teaser,"Promotion, BTS",
NCT DREAM ?€??????€ ??? (Beautiful Time)?€? Behind of We Go Up,2018-10-09T12:00:00Z,522876,66550,1086,215,7,BTS,"BTS, Comeback",
[N'-61] Dream VS Dream | JENO VS JAEMIN,2018-09-22T12:00:06Z,151139,15628,299,266,2,Jakun,"Jakun, Comeback, DvsD",
[N'-60] Dream VS Dream | MARK VS HAECHAN,2018-09-20T12:00:01Z,179074,17459,370,297,2,Jakun,"Jakun, Comeback, DvsD",
NCT RECORDING DIARY #5,2018-09-18T11:25:04Z,579067,53149,925,354,7,Recording BTS,"Comeback, BTS, Recording",
[N'-59] Dream VS Dream | JAEMIN VS RENJUN,2018-09-16T08:00:03Z,223622,19195,386,249,2,Jakun,"Jakun, Comeback, DvsD",
[N'-58] Dream VS Dream | JISUNG VS CHENLE,2018-09-12T09:00:12Z,176909,16416,290,295,2,Jakun,"Jakun, Comeback, DvsD",
[N'-57] NCT DREAM ?€?We Go Up?€? BEHIND THE STAGE (???!????????????),2018-09-11T11:00:00Z,112794,11205,183,214,7,BTS,"Comeback, BTS, Stage, Performance",
NCT RECORDING DIARY #4,2018-09-07T11:25:06Z,955660,83436,943,401,7,Recording BTS,"Comeback, BTS, Recording",
NCT RECORDING DIARY #3,2018-08-16T11:25:04Z,296522,26500,614,215,7,Recording BTS,"Comeback, BTS, Recording",
[N'-48] GIVE ME A STRIKE!,2018-08-03T10:00:01Z,292667,31099,395,230,3,Jakun,"Jakun, BTS, Game, Bowling",
[N'-46] 00+00+00+00=LOVE #2,2018-07-20T10:00:03Z,480677,50004,616,239,4,Jakun,"Jakun, Vlog",
[N'-44] 00+00+00+00=LOVE,2018-07-06T12:00:14Z,720344,100260,1270,325,4,Jakun,"Jakun, Vlog",
[N'-21] JOY! JOY TO THE WORLD,2017-12-18T09:00:02Z,93007,10056,181,183,6,BTS,"Music Video, BTS",
[N'-16] ??? ?????? ?????? Black Suit!,2017-11-14T10:00:05Z,331423,29163,341,171,6,Reaction Video,"Reaction Video, Dance, BTS, Performance",
NCT DREAM_ SUPER JUNIOR 'Black Suit' DANCE COVER,2017-11-14T08:00:04Z,1246084,101732,1247,82,5,Dance,"Cover Dance, Dance, Performance",
NCT DREAM BOY VIDEO B-CUT #7,2017-11-03T09:00:00Z,58458,5275,79,107,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #6,2017-11-01T09:00:03Z,56401,7372,160,51,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #5,2017-10-30T09:00:00Z,38050,3946,61,80,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #4,2017-10-27T09:00:03Z,36529,4131,54,79,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #3,2017-10-25T09:00:05Z,37180,4040,63,53,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #2,2017-10-23T09:00:01Z,39417,4166,80,116,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT #1,2017-10-20T09:00:01Z,40429,4017,42,66,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO B-CUT Teaser,2017-10-18T09:00:04Z,27834,3666,62,44,6,BTS,"BTS, Teaser",
NCT DREAM BOY VIDEO EP.12,2017-10-16T08:00:01Z,55256,5793,149,374,6,Jakun,Jakun,
NCT DREAM BOY VIDEO EP.11,2017-10-13T09:00:05Z,47672,5100,96,196,6,Jakun,Jakun,
NCT DREAM BOY VIDEO EP.10,2017-10-11T09:00:01Z,49419,5105,102,198,6,Jakun,Jakun,
NCT DREAM BOY VIDEO EP.09,2017-09-29T09:00:02Z,57706,5503,87,170,6,Jakun,Jakun,
NCT DREAM BOY VIDEO EP.08,2017-09-27T09:00:01Z,50685,5127,100,177,6,Jakun,Jakun,
NCT DREAM BOY VIDEO EP.07,2017-09-25T09:00:00Z,55530,5775,120,176,6,Jakun,Jakun,
NCT DREAM BOY #HAECHAN VIDEO,2017-09-22T09:00:01Z,44820,5905,174,287,1,Jakun,"Jakun, BTS",
NCT DREAM BOY #RENJUN VIDEO,2017-09-20T09:00:07Z,59589,8144,378,150,1,Jakun,"Jakun, BTS",
[N?€?-3] SO WHAT? WE HOT! WE YOUNG!,2017-09-18T10:00:01Z,100432,11921,155,68,6,BTS,"BTS, Stage",
NCT DREAM BOY #JENO VIDEO,2017-09-18T09:00:00Z,52488,6188,132,143,1,Jakun,"Jakun, BTS",
NCT DREAM BOY #MARK VIDEO,2017-09-15T09:00:01Z,49314,5690,130,169,1,Jakun,"Jakun, BTS",
NCT DREAM BOY #CHENLE VIDEO,2017-09-13T09:00:00Z,49085,6250,129,133,1,Jakun,"Jakun, BTS",
NCT DREAM BOY #JISUNG VIDEO,2017-09-11T09:00:02Z,75657,8852,145,150,1,Jakun,"Jakun, BTS",
NCT DREAM_ MY PAGE,2017-09-07T10:00:02Z,120297,16725,354,137,6,BTS,"BTS, Jakun",
NCT DREAM BOY VIDEO Teaser,2017-09-06T09:00:02Z,52168,8353,138,26,6,Teaser,"Teaser, Jakun",
[#4Ket] NCT DREAM_Trigger the fever #JISUNG,2017-08-30T10:00:05Z,62795,5680,77,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_Trigger the fever #JENO,2017-08-30T10:00:04Z,24749,3197,66,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_Trigger the fever #CHENLE,2017-08-30T10:00:03Z,18147,2952,114,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_Trigger the fever #MARK,2017-08-30T10:00:02Z,19655,2669,43,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_Trigger the fever #RENJUN,2017-08-30T10:00:02Z,28198,4090,207,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_Trigger the fever #HAECHAN,2017-08-30T10:00:01Z,23338,3545,65,208,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #JENO,2017-08-23T01:00:03Z,19072,3389,72,230,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #HAECHAN,2017-08-23T01:00:03Z,19878,3416,72,230,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #MARK,2017-08-23T01:00:01Z,20174,3499,60,230,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young,2017-08-23T01:00:01Z,53853,6056,111,230,6,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #CHENLE,2017-08-23T01:00:01Z,24411,4459,144,230,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #JISUNG,2017-08-23T01:00:00Z,48223,8097,166,230,1,Stage,"Stage, Performance",
[#4Ket] NCT DREAM_We Young #RENJUN,2017-08-23T01:00:00Z,34541,6005,249,230,1,Stage,"Stage, Performance",
