title,publishedAt,viewCount,likeCount,commentCount,duration
✌️✌️↩️ #NCT127Challenge,2022-09-18T09:03:00Z,330984,45959,363,15
2🅱️1🅿️ #NCT127Challenge,2022-09-18T09:02:00Z,233152,32583,224,15
#NCT127Challenge 찍으러 질주!,2022-09-18T09:01:00Z,268489,37873,329,22
아직 #NCT127Challenge 안 찍었어?,2022-09-18T09:00:28Z,219388,32181,232,26
"NCT 127 ""질주 (2 Baddies) - The 4th Album"" Deluxe Box Official Unboxing",2022-09-17T16:00:27Z,197900,26666,628,329
NCT 127 엔시티 127 '질주 (2 Baddies)' Performance Video,2022-09-17T13:00:19Z,2435719,210795,6803,249
2 Baddies(x2) 1 Porsche🏎💨🕵️‍♂️,2022-09-17T11:25:04Z,192803,28637,227,13
UNBOXING of NCT 127 ’질주 (2 Baddies)’ Album🏎💨,2022-09-17T11:00:16Z,331766,42110,985,532
Na na na na na na na na~🎵💗 with #소녀시대 #효연 #서현,2022-09-16T06:52:12Z,771353,87658,409,27
NCT 127 'Faster' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:37Z,671153,38590,1226,171
NCT 127 '질주 (2 Baddies)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:33Z,263054,16300,289,231
NCT 127 'Time Lapse' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:30Z,497819,26565,1088,216
NCT 127 '불시착 (Crash Landing)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:26Z,445158,23923,825,205
NCT 127 'Designer' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:22Z,1512754,52561,1483,238
NCT 127 '윤슬 (Gold Dust)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:19Z,816251,36788,1689,250
NCT 127 '흑백 영화 (Black Clouds)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:15Z,548730,27040,1119,219
NCT 127 'Playback' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:13Z,278278,17816,344,193
NCT 127 'Tasty (貘)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:10Z,330314,20575,747,215
NCT 127 'Vitamin' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:07Z,397119,22286,684,185
NCT 127 'LOL (Laugh-Out-Loud)' (Official Audio) | 질주 (2 Baddies) - The 4th Album,2022-09-16T04:00:04Z,400408,22945,651,220
"NCT 127 '1, 2, 7 (Time Stops)' (Official Audio) | 질주 (2 Baddies) - The 4th Album",2022-09-16T04:00:02Z,372200,21474,662,217
TYONG’s #NCT127Challenge,2022-09-16T03:00:27Z,175687,33628,411,20
Valentine Boy’s #NCT127Challenge,2022-09-16T03:00:24Z,131012,28470,242,16
🐰’s #NCT127Challenge,2022-09-16T03:00:18Z,114690,23807,293,17
🌕’s #NCT127Challenge,2022-09-16T03:00:15Z,95824,23294,339,15
YUUUTTTTTA’s #NCT127Challenge,2022-09-16T03:00:15Z,244281,41701,507,14
Chicago Prince’s #NCT127Challenge,2022-09-16T03:00:14Z,86610,19513,210,16
🐯’s #NCT127Challenge,2022-09-16T03:00:13Z,171952,34981,234,19
Full Sun’s #NCT127Challenge,2022-09-16T03:00:04Z,182626,35070,379,15
SUGARING CANDY’s #NCT127Challenge,2022-09-16T03:00:01Z,288964,45261,547,21
2 Baddies? 3 Baddies! #NCT127Challenge,2022-09-15T15:02:00Z,409113,65562,485,18
How’s your #NCT127Challenge,2022-09-15T15:01:00Z,275858,52463,378,18
make it a transition! 🔄➡️ #NCT127Challenge,2022-09-15T15:00:06Z,490715,68971,813,14
"Laugh It Up, ‘Cause We Belong TogetherㅣFill It UpㅣEP. 5",2022-09-14T13:00:32Z,943620,85530,3126,1704
✌️✌️ with #용진건강원 🏎💨,2022-09-14T12:16:04Z,423121,43453,218,16
#NCT127Challenge with US!,2022-09-13T10:02:00Z,395708,55328,591,20
질주 2 Baddies #NCT127Challenge,2022-09-13T10:01:00Z,382137,56984,592,20
2 Baddies 👬 1 Porsche 🏎 #NCT127Challenge,2022-09-13T10:00:37Z,836475,100044,767,17
NCT 127 엔시티 127 '질주 (2 Baddies)' Highlight Medley,2022-09-12T15:00:03Z,1138382,131733,6515,218
We’re Going FasterㅣFill It UpㅣEP. 4,2022-09-10T13:00:16Z,1435768,100233,2110,2113
NCT 127 '질주 (2 Baddies)' Mood Sampler #2,2022-09-08T15:00:35Z,496283,77453,1583,29
Love In The Ice💚🧊🎤 (우리칠 Ver.),2022-09-06T13:01:15Z,230881,39782,715,1
We Got Each OtherㅣFill It UpㅣEP. 3,2022-09-06T13:00:09Z,1682636,117292,3931,2412
NCT 127 '질주 (2 Baddies)' Mood Sampler #1,2022-09-04T15:00:30Z,823383,121179,3260,33
Behind the NEO SEOUL #2,2022-09-03T15:02:00Z,180144,33486,285,28
Behind the NEO SEOUL #1,2022-09-03T15:01:00Z,99894,23203,177,17
NEO SEOUL OUTRO : Speed Up,2022-09-03T15:00:05Z,375224,64880,1261,23
don’t tell me what to be! #NEOSEOUL,2022-09-02T15:02:00Z,345933,59063,672,21
Sit ⬇️ @ NEO SEOUL,2022-09-02T15:01:00Z,312958,52763,456,20
Special Stage: Sit Down! @ NEO SEOUL 🕺,2022-09-02T15:00:16Z,221182,37751,704,26
We Ride On Top GearㅣFill It UpㅣEP. 2,2022-09-02T13:00:18Z,1560640,115797,2665,2377
37.5% HAECHAN CAM NEO SEOUL VLOG 🤳,2022-09-01T15:01:00Z,162851,34970,556,37
it’s celebration 🥳🐼 #NEOSEOUL,2022-09-01T15:00:03Z,87331,19448,321,25
MARK performs 뿔 (MAD DOG) 🎙 @ NEO SEOUL,2022-08-31T15:02:00Z,140880,27561,250,19
#NEOSEOUL 🦸‍♂️super slow🚶‍♂️,2022-08-31T15:01:00Z,98890,22578,247,26
🍋ade 휘저어 난 🌪 #NEOSEOUL,2022-08-31T15:00:06Z,401482,56134,513,27
저희 PUMA 광고 모델이 되었습니다!💚👟 | PUMA Photoshoot Behind,2022-08-31T11:00:33Z,205760,25680,596,675
one more time #NeoSeoulChallenge,2022-08-30T15:01:00Z,210707,37471,452,18
"2️⃣ people, double fun #NeoSeoulChallenge",2022-08-30T15:00:17Z,202815,34640,346,20
jump 🕶 jump #NeoSeoulChallenge,2022-08-29T15:01:00Z,106441,20542,204,30
quick #NeoSeoulChallenge filming 📲,2022-08-29T15:00:32Z,196979,37021,753,17
Let's Fill Up Our MemoriesㅣFill It UpㅣEP. 1,2022-08-29T13:00:08Z,2207188,157887,3179,2114
빨리 빨리 꺾어 right 🍒💣 feel it yum #NEOSEOUL,2022-08-28T15:01:00Z,195203,33034,559,19
Cherry Bomb #NeoSeoulChallenge Tutorial,2022-08-28T15:00:07Z,163589,20415,459,11
Singapore💚 We are finally here! | THE LINK LOG #SINGAPORE,2022-08-28T13:00:21Z,337425,35496,843,1143
🆕 THANGS #NEOSEOUL,2022-08-27T15:01:00Z,235401,37156,553,25
no fights allowed at NEO SEOUL,2022-08-27T15:00:40Z,180624,31934,398,30
날아다녀 밤새도록 #NEOSEOUL,2022-08-26T15:01:00Z,203589,34869,348,24
let me introduce you to some new #NeoSeoulChallenge,2022-08-26T15:00:18Z,135478,27550,359,29
슉💨하면 뿅💥 #NEOSEOUL,2022-08-25T15:02:00Z,134167,31129,521,28
DJ JOHNNY also joined #NeoSeoulChallenge,2022-08-25T15:01:00Z,130687,28180,275,21
speed off ⏩ #NeoSeoulChallenge,2022-08-25T15:00:39Z,297082,55143,691,19
NCT 127 2ND TOUR ‘NEO CITY – THE LINK’ Recap Video,2022-08-25T13:00:12Z,159974,27576,516,42
Concert D-Day Behind | Ep.2 | THE LINK LOG #TOKYO,2022-08-24T13:00:14Z,427735,40960,926,1376
📳 전화 받어 #NEOSEOUL,2022-08-24T12:01:00Z,138065,26938,415,9
vroom vroom 🏎 #NEOSEOUL,2022-08-24T12:00:12Z,272192,50102,758,15
we’re going faster 📸 #NEOSEOUL,2022-08-24T10:01:00Z,231056,39627,455,20
first NEO SEOUL Challenge d.c. @TY TRACK,2022-08-24T10:00:03Z,223534,43964,639,21
NEO SEOUL VIDEO,2022-08-23T15:00:36Z,526289,97160,3634,61
🎧 sound check @ NEO SEOUL,2022-08-23T11:02:00Z,109996,25804,259,17
Members Only 💳 #NEOSEOUL,2022-08-23T11:01:00Z,184079,36686,454,11
breathtaking moment 🙊 #NEOSEOUL,2022-08-23T11:00:10Z,174000,36546,673,11
Free Entry for NCTzens after 2400 KST #NEOSEOUL,2022-08-23T09:00:31Z,235511,51092,1061,12
#NEOSEOUL 쩡우 뭐해? 🤠,2022-08-22T11:00:14Z,326974,65761,1356,42
sneak peek of NEO SEOUL 👀🌀,2022-08-22T09:01:00Z,167079,37379,651,18
NEO SEOUL NIGHTS now open 🤯,2022-08-22T09:00:30Z,130695,30821,379,9
NCT 127 엔시티 127 '질주 (2 Baddies)' : Gear Up,2022-08-18T15:00:01Z,1312696,163121,5136,22
Stage Practice & Rehearsal Behind | Ep.1 | THE LINK LOG #TOKYO,2022-08-18T11:00:19Z,499314,51005,875,997
"양치가 제 life죠✨ Aku cinta kalian, Czennies💚 | NCT 127 X Click Behind the Scenes",2022-08-10T11:00:13Z,267506,35373,879,916
"Iya dong, Blibli & NCT 127 gitu lho💙 | NCT 127 X Blibli Behind",2022-08-04T11:00:06Z,257733,39710,1267,878
NATURE REPUBLIC Photoshoot Behind｜CALIFORNIA ALOE SUN☀️,2022-08-01T11:00:32Z,317437,37303,790,952
We can cherish every moment | My Trip Mates EP.3,2022-07-19T13:00:00Z,844971,68772,1507,2213
Ride or die with you | My Trip Mates EP.2,2022-07-16T13:00:02Z,1038761,81706,1460,2072
Take you anywhere you want | My Trip Mates EP.1,2022-07-13T13:00:13Z,1638294,124053,2435,2265
[Replay] Roll up to the party : NCT 127 6TH ANNIVERSARY,2022-07-08T10:08:01Z,520912,33722,1248,4622
시즈니가 이런 거 또 좋아하지🎂💚 | NCT 127 6th Anniversary,2022-07-07T12:00:23Z,1186390,106620,3286,2216
TAEYONG’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-21T11:00:06Z,606708,66431,2119,753
JUNGWOO’S DAY｜NCT 127 “A DAY 1N M2 ROO7и”,2022-06-19T11:00:30Z,496930,56153,1881,871
