title,publishedAt,viewCount,likeCount,commentCount,duration
“네 친구를 데려온다고?” 혹시 너.. E야? | 오늘의 MBTI | 7DREAM MBTI TALK EP.1,2023-07-25T13:00:32Z,837137,80841,2197,955
#LETSGETDOWN ⤵️⚡️ with #전현무,2023-07-25T07:00:24Z,421822,53280,181,15
""" 너.. T야? "" #7DREAM_MBTI_TALK ➫ TONIGHT 10PM (KST)",2023-07-25T04:05:02Z,102176,21663,126,14
"이브, 프시케 그리고 황런쥔의 카감",2023-07-23T11:00:18Z,856756,105940,651,28
Beep-beep #ISTJ 🤍 Keep-keep #ISTJ ♥️ with #KYUJIN,2023-07-23T09:16:24Z,691921,86708,600,18
흥이 넘치는 카감님 😂 -RJ,2023-07-23T08:30:34Z,383493,66600,285,15
Make me proud 〰 with #조나단,2023-07-23T06:00:03Z,323162,53781,161,14
🆘 집중 이건 #SOSChallenge 🆘,2023-07-22T08:00:16Z,462208,98425,872,30
REACTION to ❤️'ISTJ'🔋 MV | NCT DREAM Reaction,2023-07-21T13:00:40Z,593594,80333,1156,587
every trio has these 3 types of people,2023-07-20T12:01:52Z,218727,48983,342,35
ENFP : wanna vibe with me? ISTJ : 💬,2023-07-20T12:01:24Z,251652,52542,190,22
꩜✮🖤ISTJ 🖇✦🐾✩ ₊˚💗ENFP🎀⊹♡,2023-07-20T12:00:12Z,282338,48385,374,15
Show me your #ISTJ with #JIHOON,2023-07-20T11:30:30Z,838646,131587,787,21
#UNBOXING NCT DREAM ‘ISTJ’ Album | 꾸미는 거 처음 해보는데… (🦊🐹),2023-07-19T12:31:30Z,125079,28918,176,61
#UNBOXING NCT DREAM ‘ISTJ’ Album | 전 제 포카에 제 사인 할 수 있어요 (🐻🐰🐬),2023-07-19T12:31:16Z,120638,30046,195,61
#UNBOXING NCT DREAM ‘ISTJ’ Album | 너 나랑 Trade 할래? (🐯🐶),2023-07-19T12:30:33Z,84417,25560,128,61
UNBOXING of NCT DREAM’s very first custom ✫🎤✫,2023-07-19T11:00:02Z,548113,87442,1781,253
NCT DREAM 'Like We Just Met' (Official Audio),2023-07-17T09:01:52Z,1450106,111438,5137,210
NCT DREAM '제자리 걸음 (Starry Night)' (Official Audio),2023-07-17T09:01:43Z,328464,31848,747,191
NCT DREAM 'Pretzel (♡)' (Official Audio),2023-07-17T09:01:34Z,335454,28986,662,206
NCT DREAM 'SOS' (Official Audio),2023-07-17T09:01:22Z,785349,48241,1781,3
NCT DREAM 'Poison (모래성)' (Official Audio),2023-07-17T09:01:12Z,777978,53652,1963,213
NCT DREAM '파랑 (Blue Wave)' (Official Audio),2023-07-17T09:00:56Z,529861,36557,915,192
NCT DREAM 'Skateboard' (Official Audio),2023-07-17T09:00:46Z,400005,32799,860,187
NCT DREAM 'Yogurt Shake' (Official Audio),2023-07-17T09:00:34Z,797611,50441,1518,198
NCT DREAM 'Broken Melodies' (Official Audio),2023-07-17T09:00:24Z,184877,23432,344,227
NCT DREAM 'ISTJ' (Official Audio),2023-07-17T09:00:13Z,321652,34438,869,186
2023-05-12 'Like We Just Met' Lyrics meeting,2023-07-16T13:00:43Z,474163,75783,1238,701
[Un Cut] Take #1｜'Broken Melodies' MV Behind the Scene,2023-07-13T13:00:28Z,451675,62773,974,1573
"what it is, what’s up #NCTDREAM #MARK #JISUNG",2023-07-12T06:09:34Z,649423,119590,1528,20
ISTJ ↔ ENFP,2023-07-11T15:00:03Z,910197,106469,2764,461
런쥔아 지금 분위기 봐… #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-10T06:24:01Z,80598,20670,124,28
천러CAM 어딨어요옥!? #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-10T06:23:56Z,52777,15942,70,13
우정반지 여기서 뺄게요 | 우정을 찾아줘 | Finding 7-UJEONG EP.3,2023-07-09T11:00:30Z,914747,104725,1729,1012
엔시티드림 특 : 구슬아이스크림 한쪽도 나눠먹음 #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-07T07:32:10Z,80045,20039,107,56
너의 MBTI는 CUTE #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-07T07:30:37Z,95610,21889,141,9
MBTI가 뭐예요? CUTE요 | 우정을 찾아줘 | Finding 7-UJEONG EP.2,2023-07-05T11:00:24Z,1075600,113491,1617,1144
오늘부터 야라고 부를게 #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-03T10:50:09Z,102086,22488,163,20
얘 이상해요!!! 이제노 이상해!!! #NCTDREAM #우정을찾아줘 #Finding_7UJEONG,2023-07-03T10:46:26Z,110226,26190,174,28
The Second Video - We Go Extroverted,2023-07-02T15:00:06Z,774297,61094,1270,52
더 센 배신은 없어요? | 우정을 찾아줘 | Finding 7-UJEONG EP.1,2023-07-02T11:00:32Z,1673876,167977,2308,1334
""" 우정 다 꺾어! "" #NCTDREAM #우정을찾아줘 #Finding_7UJEONG",2023-07-02T07:03:53Z,137525,33494,194,14
💗왜 이렇게 부끄러움 타요 오늘?☺️ | Broken Melodies 음악방송 대기실 비하인드,2023-07-01T11:00:21Z,569454,65682,1544,1237
Our First Video - The Introvert Video Crew,2023-06-26T15:00:17Z,663360,80286,1428,64
7 DREAM Production : lucky7 vending machine,2023-06-25T15:00:36Z,475305,53410,1218,49
Feel you next to me 🤟7️⃣🤟,2023-06-25T12:53:28Z,125695,39034,146,8
#Broken_Melodies brings back our memories ̊₊✯͡ 🜚 *･,2023-06-22T04:51:49Z,108324,35032,134,29
오늘 좀 더 특별한 이유가 뭐냐면...🫣 | day in DREAM #3,2023-06-21T11:00:43Z,387865,47861,775,1387
NCT DREAM 엔시티 드림 'Broken Melodies' Performance Video,2023-06-21T09:00:02Z,5215913,345846,9866,233
우리의 열정은 엄청 뜨거워요 아직!🔥 | day in DREAM #2,2023-06-18T11:00:13Z,553646,61911,971,1883
왜 이렇게 찍어야 할 게 많지?💥 | day in DREAM #1,2023-06-15T11:00:01Z,1033928,115703,1797,1697
A Midsummer Night’s Dream,2023-06-14T15:00:36Z,635507,97672,1812,51
"DREAM SKETCH : Page #6 - in JAKARTA, BANGKOK, HONG KONG | THE DREAM SHOW2 BEHIND",2023-06-14T13:00:40Z,525730,71412,1564,2347
NCT DREAM '버퍼링 (Glitch Mode)' @NCT DREAM TOUR 'THE DREAM SHOW2 : In YOUR DREAM',2023-06-14T09:00:17Z,856216,75162,1841,325
NCT DREAM '맛 (Hot Sauce)' @NCT DREAM TOUR 'THE DREAM SHOW2 : In YOUR DREAM',2023-06-14T09:00:09Z,909523,60451,1384,238
그래요 시즈니도 영원하세요🤝💚 #THEDREAMSHOW2,2023-06-08T08:42:06Z,85260,17471,478,80
Behind the #BYObble #THEDREAMSHOW2,2023-06-02T16:32:11Z,149186,20546,374,32
Nanti kita jumpa lagi💚,2023-05-27T04:13:09Z,173434,38288,235,61
RENJUN & CHENLE REACTION to 'Hello Future Orchestra Ver.' MV,2023-05-26T13:00:07Z,312245,38949,958,517
我哋以后一定要再见面喎💚,2023-05-18T09:24:21Z,99860,27041,120,59
Don’t skip a meal 〰 #MANILA #SINGAPORE,2023-05-07T04:44:32Z,185558,38173,114,1
“아주 행복한 청춘을 보냈으면 좋겠다” | 7번지 우정빌리지 #2,2023-05-01T13:00:10Z,804189,72804,1710,1186
손목 위에 난~🦊 옷깃 위에 난~🐻 남겨두려 해~🐹💚,2023-04-29T10:17:22Z,1528938,222036,1069,24
남겨두려 해 💥 #Beatbox 잊을 수 없게 🎵🤩,2023-04-28T12:15:20Z,648237,90657,254,27
Love you all lots 💚 #HOUSTON #DALLAS #LA #SEATTLE,2023-04-26T12:07:05Z,110221,13828,230,93
“다음 주 금요일에 뭐 해요?” | 7번지 우정빌리지 #1,2023-04-24T13:00:21Z,1665014,140538,3724,1832
the 7⃣ boys a liar..? 🤭🤜 w/#PinkPantheress,2023-04-24T07:49:09Z,1222815,78772,510,16
Everywhere #NCTDREAM & #PinkPantheress  go bring the #Beatbox 😉💗,2023-04-24T07:49:00Z,816948,59138,261,13
Keep it goin' till #DREAMSQUAD gettin’ louder🔥,2023-04-19T02:03:49Z,256520,40967,103,16
